Time,Concentration
11:33:46,4155
11:33:47,4195
11:33:48,4224
11:33:49,4171
11:33:50,4184
11:33:51,4278
11:33:52,4288
11:33:53,4262
11:33:54,4370
11:33:55,4435
11:33:56,4991
11:33:57,5115
11:33:58,4716
11:33:59,4841
11:34:00,5676
11:34:01,5731
11:34:02,5196
11:34:03,5005
11:34:04,4719
11:34:05,4723
11:34:06,4774
11:34:07,4979
11:34:08,5268
11:34:09,5936
11:34:10,7727
11:34:11,8295
11:34:12,6905
11:34:13,6171
11:34:14,5864
11:34:15,5790
11:34:16,6059
11:34:17,6213
11:34:18,6562
11:34:19,6971
11:34:20,6608
11:34:21,5829
11:34:22,5656
11:34:23,5682
11:34:24,6123
11:34:25,5868
11:34:26,5950
11:34:27,5857
11:34:28,5750
11:34:29,5596
11:34:30,5467
11:34:31,6121
11:34:32,6372
11:34:33,6702
11:34:34,6193
11:34:35,7687
11:34:36,8113
11:34:37,8126
11:34:38,7499
11:34:39,8287
11:34:40,8944
11:34:41,9525
11:34:42,9937
11:34:43,8689
11:34:44,15451
11:34:45,12962
11:34:46,11016
11:34:47,12992
11:34:48,16314
11:34:49,17275
11:34:50,16607
11:34:51,15944
11:34:52,15071
11:34:53,15738
11:34:54,16795
11:34:55,16408
11:34:56,18142
11:34:57,18120
11:34:58,14824
11:34:59,15257
11:35:00,15944
11:35:01,15273
11:35:02,12703
11:35:03,12559
11:35:04,14135
11:35:05,15723
11:35:06,16116
11:35:07,15091
11:35:08,12571
11:35:09,11238
11:35:10,10998
11:35:11,9353
11:35:12,9388
11:35:13,9198
11:35:14,9009
11:35:15,8498
11:35:16,9092
11:35:17,6729
11:35:18,7349
11:35:19,8664
11:35:20,10407
11:35:21,10380
11:35:22,11920
11:35:23,12766
11:35:24,12276
11:35:25,11094
11:35:26,11907
11:35:27,13678
11:35:28,13912
11:35:29,13090
11:35:30,10603
11:35:31,11001
11:35:32,10104
11:35:33,8449
11:35:34,8158
11:35:35,8419
11:35:36,8618
11:35:37,9794
11:35:38,9518
11:35:39,8521
11:35:40,8292
11:35:41,7515
11:35:42,7077
11:35:43,7515
11:35:44,7699
11:35:45,8165
11:35:46,8236
11:35:47,10868
11:35:48,11202
11:35:49,13494
11:35:50,14069
11:35:51,14370
11:35:52,13226
11:35:53,11805
11:35:54,11213
11:35:55,10964
11:35:56,10992
11:35:57,11008
11:35:58,10676
11:35:59,10572
11:36:00,10102
11:36:01,9680
11:36:02,9669
11:36:03,9405
11:36:04,8483
11:36:05,8291
11:36:06,8714
11:36:07,8790
11:36:08,8911
11:36:09,8989
11:36:10,8420
11:36:11,6503
11:36:12,5918
11:36:13,5984
11:36:14,5487
11:36:15,5452
11:36:16,7339
11:36:17,9515
11:36:18,10412
11:36:19,11712
11:36:20,9123
11:36:21,8445
11:36:22,9916
11:36:23,10207
11:36:24,9941
11:36:25,10059
11:36:26,11824
11:36:27,12682
11:36:28,12545
11:36:29,12192
11:36:30,12021
11:36:31,11608
11:36:32,10642
11:36:33,10039
11:36:34,10992
11:36:35,10685
11:36:36,10910
11:36:37,12419
11:36:38,13318
11:36:39,12102
11:36:40,11928
11:36:41,12165
11:36:42,12209
11:36:43,11992
11:36:44,11930
11:36:45,11845
11:36:46,12068
11:36:47,11847
11:36:48,10173
11:36:49,9825
11:36:50,9969
11:36:51,9754
11:36:52,9955
11:36:53,10162
11:36:54,10379
11:36:55,10008
11:36:56,10533
11:36:57,10791
11:36:58,9894
11:36:59,9189
11:37:00,8836
11:37:01,9607
11:37:02,6329
11:37:03,5237
11:37:04,5145
11:37:05,9166
11:37:06,10819
11:37:07,11080
11:37:08,11855
11:37:09,11090
11:37:10,10146
11:37:11,10948
11:37:12,11541
11:37:13,10488
11:37:14,8758
11:37:15,8403
11:37:16,7847
11:37:17,7524
11:37:18,7324
11:37:19,7196
11:37:20,7686
11:37:21,8332
11:37:22,9082
11:37:23,9930
11:37:24,10129
11:37:25,11833
11:37:26,12049
11:37:27,11902
11:37:28,11524
11:37:29,9069
11:37:30,8707
11:37:31,8587
11:37:32,7836
11:37:33,7423
11:37:34,7535
11:37:35,7397
11:37:36,7253
11:37:37,7658
11:37:38,7605
11:37:39,7869
11:37:40,7864
11:37:41,8154
11:37:42,8717
11:37:43,8627
11:37:44,9343
11:37:45,9332
11:37:46,9230
11:37:47,8630
11:37:48,7935
11:37:49,8629
11:37:50,8343
11:37:51,7916
11:37:52,7763
11:37:53,7820
11:37:54,7563
11:37:55,7098
11:37:56,7510
11:37:57,8063
11:37:58,7942
11:37:59,8061
11:38:00,7941
11:38:01,7832
11:38:02,7581
11:38:03,7665
11:38:04,7533
11:38:05,6744
11:38:06,6522
11:38:07,6250
11:38:08,6219
11:38:09,6054
11:38:10,5935
11:38:11,5639
11:38:12,5474
11:38:13,5435
11:38:14,5548
11:38:15,5565
11:38:16,5619
11:38:17,6197
11:38:18,6357
11:38:19,6524
11:38:20,6004
11:38:21,5262
11:38:22,5225
11:38:23,16777200
11:38:24,16777200
11:38:25,16777200
11:38:26,16777200
11:38:27,16777200
11:38:28,16777200
11:38:29,16777200
11:38:30,16777200
11:38:31,16777200
11:38:32,16777200
11:39:04,62539
11:39:05,62447
11:39:06,64006
11:39:07,62304
11:39:08,61300
11:39:09,55446
11:39:10,46939
11:39:11,26391
11:39:12,20059
11:39:13,22032
11:39:14,23143
11:39:15,24282
11:39:16,18555
11:39:17,11247
11:39:18,8855
11:39:19,8780
11:39:20,7754
11:39:21,10367
11:39:22,9094
11:39:23,15951
11:39:24,17861
11:39:25,10399
11:39:26,11276
11:39:27,5797
11:39:28,4514
11:39:29,4426
11:39:30,9996
11:39:31,21542
11:39:32,22409
11:39:33,13705
11:39:34,7157
11:39:35,5225
11:39:36,4833
11:39:37,4697
11:39:38,4595
11:39:39,4691
11:39:40,4808
11:39:41,4733
11:39:42,5084
11:39:43,15899
11:39:44,15747
11:39:45,7252
11:39:46,5213
11:39:47,4996
11:39:48,4875
11:39:49,4920
11:39:50,4918
11:39:51,6643
11:39:52,7634
11:39:53,6814
11:39:54,9564
11:39:55,11150
11:39:56,12436
11:39:57,10118
11:39:58,9113
11:39:59,12467
11:40:00,15555
11:40:01,14077
11:40:02,9640
11:40:03,13115
11:40:04,16623
11:40:05,17232
11:40:06,13821
11:40:07,10532
11:40:08,9504
11:40:09,8323
11:40:10,7353
11:40:11,7799
11:40:12,8015
11:40:13,7551
11:40:14,7086
11:40:15,7269
11:40:16,7394
11:40:17,7594
11:40:18,8176
11:40:19,7664
11:40:20,6301
11:40:21,5459
11:40:22,4971
11:40:23,4651
11:40:24,4235
11:40:25,4361
11:40:26,4330
11:40:27,4556
11:40:28,7134
11:40:29,6410
11:40:30,5929
11:40:31,5417
11:40:32,7393
11:40:33,7715
11:40:34,5539
11:40:35,4999
11:40:36,5063
11:40:37,5125
11:40:38,4962
11:40:39,4773
11:40:40,4756
11:40:41,4661
11:40:42,4668
11:40:43,4619
11:40:44,4678
11:40:45,4642
11:40:46,4659
11:40:47,4485
11:40:48,4543
11:40:49,4481
11:40:50,4686
11:40:51,4602
11:40:52,4467
11:40:53,4634
11:40:54,4444
11:40:55,4650
11:40:56,4914
11:40:57,5345
11:40:58,5570
11:40:59,5116
11:41:00,4849
11:41:01,5287
11:41:02,7413
11:41:03,7918
11:41:04,6480
11:41:05,6300
11:41:06,6227
11:41:07,6146
11:41:08,5762
11:41:09,5415
11:41:10,5307
11:41:11,5655
11:41:12,6017
11:41:13,5821
11:41:14,16777200
11:41:15,16777200
11:41:16,16777200
11:41:17,16777200
11:41:18,16777200
11:41:19,16777200
11:41:20,16777200
11:41:21,16777200
11:41:22,16777200
11:41:23,16777200
11:42:16,4804
11:42:17,4990
11:42:18,4872
11:42:19,5099
11:42:20,5220
11:42:21,5215
11:42:22,5159
11:42:23,5242
11:42:24,5188
11:42:25,5108
11:42:26,5125
11:42:27,5168
11:42:28,5073
11:42:29,5067
11:42:30,5314
11:42:31,5384
11:42:32,5557
11:42:33,5521
11:42:34,5485
11:42:35,5295
11:42:36,5203
11:42:37,5200
11:42:38,5248
11:42:39,5408
11:42:40,5346
11:42:41,5459
11:42:42,5421
11:42:43,5507
11:42:44,5449
11:42:45,5320
11:42:46,5377
11:42:47,5539
11:42:48,5463
11:42:49,5531
11:42:50,5353
11:42:51,5408
11:42:52,5288
11:42:53,5463
11:42:54,5512
11:42:55,5338
11:42:56,5358
11:42:57,5322
11:42:58,5360
11:42:59,5384
11:43:00,5518
11:43:01,5517
11:43:02,5287
11:43:03,5287
11:43:04,5397
11:43:05,5411
11:43:06,5307
11:43:07,5430
11:43:08,5374
11:43:09,5438
11:43:10,5411
11:43:11,5338
11:43:12,5363
11:43:13,5193
11:43:14,5462
11:43:15,5422
11:43:16,5707
11:43:17,5487
11:43:18,5616
11:43:19,5707
11:43:20,5573
11:43:21,5593
11:43:22,5540
11:43:23,5553
11:43:24,5713
