distance,Concentrat,strassenkl,dtvw_kfz_m,dtvw_lkw_m,traff_mean
27950.000000000000000,7168.000000,III,7350.000000,255.000000,9390.000000
28050.000000000000000,6988.500000,III,7800.000000,270.000000,9960.000000
28150.000000000000000,6629.000000,III,7800.000000,270.000000,9960.000000
28250.000000000000000,6612.000000,III,7800.000000,270.000000,9960.000000
28350.000000000000000,6549.000000,III,9450.000000,370.000000,12410.000000
28450.000000000000000,6266.000000,III,,,
28550.000000000000000,6329.000000,III,,,
28650.000000000000000,6685.000000,III,,,
28750.000000000000000,6717.000000,III,,,
28850.000000000000000,7473.500000,III,,,
28950.000000000000000,8031.000000,III,,,
29050.000000000000000,6204.000000,III,,,
29150.000000000000000,5777.500000,III,,,
29250.000000000000000,6324.000000,III,,,
29350.000000000000000,5554.000000,III,,,
29450.000000000000000,5321.000000,III,,,
29550.000000000000000,5271.000000,III,,,
29650.000000000000000,5251.500000,III,,,
29750.000000000000000,5557.500000,III,,,
29850.000000000000000,5910.000000,V,,,
29950.000000000000000,5308.000000,III,,,
30050.000000000000000,5439.000000,III,,,
30150.000000000000000,5011.500000,III,15100.000000,455.000000,18740.000000
30250.000000000000000,4859.500000,III,15100.000000,455.000000,18740.000000
30350.000000000000000,5671.000000,III,16700.000000,480.000000,20540.000000
30450.000000000000000,17435.000000,III,16700.000000,480.000000,20540.000000
30550.000000000000000,7873.500000,III,25125.000000,1135.000000,34205.000000
30650.000000000000000,,II,35500.000000,1910.000000,50780.000000
30750.000000000000000,,II,35500.000000,1910.000000,50780.000000
30850.000000000000000,,II,35500.000000,1910.000000,50780.000000
30950.000000000000000,,II,35500.000000,1910.000000,50780.000000
31050.000000000000000,,II,35500.000000,1910.000000,50780.000000
31150.000000000000000,,II,35500.000000,1910.000000,50780.000000
31250.000000000000000,,II,35350.000000,2025.000000,51550.000000
31350.000000000000000,,II,35350.000000,2025.000000,51550.000000
31450.000000000000000,,II,35200.000000,2140.000000,52320.000000
31550.000000000000000,,II,35200.000000,2140.000000,52320.000000
31650.000000000000000,,II,35200.000000,2140.000000,52320.000000
31750.000000000000000,,II,35200.000000,2140.000000,52320.000000
31850.000000000000000,,II,35200.000000,2140.000000,52320.000000
31950.000000000000000,,II,35200.000000,2140.000000,52320.000000
32050.000000000000000,,II,37800.000000,2327.500000,56420.000000
32150.000000000000000,6242.000000,II,37800.000000,2327.500000,56420.000000
32250.000000000000000,6959.000000,II,37800.000000,2327.500000,56420.000000
32350.000000000000000,5937.000000,II,35800.000000,2770.000000,57960.000000
32450.000000000000000,5152.000000,II,35800.000000,2770.000000,57960.000000
32550.000000000000000,12396.000000,II,35800.000000,2770.000000,57960.000000
32650.000000000000000,8128.000000,II,35800.000000,2770.000000,57960.000000
32750.000000000000000,18684.000000,II,35800.000000,2770.000000,57960.000000
32850.000000000000000,14371.000000,II,35800.000000,2770.000000,57960.000000
32950.000000000000000,13282.000000,II,35800.000000,2770.000000,57960.000000
33050.000000000000000,7886.000000,II,35800.000000,2770.000000,57960.000000
33150.000000000000000,5013.000000,II,35800.000000,2770.000000,57960.000000
33250.000000000000000,4792.000000,II,35800.000000,2770.000000,57960.000000
33350.000000000000000,5195.000000,II,35800.000000,2770.000000,57960.000000
33450.000000000000000,4747.500000,II,36900.000000,2523.333333,57086.666667
33550.000000000000000,4786.500000,II,37450.000000,2400.000000,56650.000000
33650.000000000000000,4323.500000,V,37450.000000,2400.000000,56650.000000
33750.000000000000000,4282.500000,V,,,
33850.000000000000000,4307.500000,V,,,
33950.000000000000000,4287.500000,V,,,
34050.000000000000000,4363.000000,V,,,
34150.000000000000000,4313.000000,V,,,
34250.000000000000000,4132.500000,V,,,
34350.000000000000000,4155.000000,V,,,
34450.000000000000000,4211.000000,V,,,
34550.000000000000000,4539.000000,V,,,
34650.000000000000000,4513.000000,V,11500.000000,193.333333,13046.666667
34750.000000000000000,4511.500000,V,11550.000000,195.000000,13110.000000
34850.000000000000000,4459.000000,V,,,
34950.000000000000000,4591.500000,V,,,
35050.000000000000000,4196.000000,V,,,
35150.000000000000000,4220.000000,V,,,
35250.000000000000000,4175.000000,V,,,
35350.000000000000000,4089.000000,V,,,
35450.000000000000000,4052.000000,V,,,
35550.000000000000000,4114.000000,V,,,
35650.000000000000000,4103.500000,V,,,
35750.000000000000000,4027.000000,V,,,
35850.000000000000000,4114.000000,V,,,
35950.000000000000000,4134.500000,V,,,
36050.000000000000000,3936.500000,V,,,
36150.000000000000000,4071.000000,V,11400.000000,190.000000,12920.000000
36250.000000000000000,5058.000000,IV,11400.000000,190.000000,12920.000000
36350.000000000000000,5139.000000,IV,11400.000000,190.000000,12920.000000
36450.000000000000000,6055.000000,IV,11400.000000,190.000000,12920.000000
36550.000000000000000,6548.000000,IV,11500.000000,193.333333,13046.666667
36650.000000000000000,4760.000000,IV,11550.000000,195.000000,13110.000000
36750.000000000000000,4291.000000,IV,11950.000000,210.000000,13630.000000
36850.000000000000000,4083.000000,IV,11950.000000,210.000000,13630.000000
36950.000000000000000,4075.000000,IV,12433.333333,223.333333,14220.000000
37050.000000000000000,4324.000000,IV,12575.000000,227.500000,14395.000000
37150.000000000000000,4716.000000,IV,13000.000000,240.000000,14920.000000
37250.000000000000000,5632.000000,V,13333.333333,250.000000,15333.333333
37350.000000000000000,5389.000000,V,13500.000000,255.000000,15540.000000
37450.000000000000000,4910.000000,V,,,
37550.000000000000000,4599.000000,V,,,
37650.000000000000000,4651.000000,IV,,,
37750.000000000000000,4554.000000,IV,,,
37850.000000000000000,5356.000000,IV,,,
37950.000000000000000,4408.000000,IV,,,
38050.000000000000000,4383.000000,V,,,
38150.000000000000000,4396.000000,V,,,
38250.000000000000000,4371.000000,V,,,
38350.000000000000000,4402.000000,V,14500.000000,290.000000,16820.000000
38450.000000000000000,4996.000000,IV,14500.000000,290.000000,16820.000000
38550.000000000000000,7642.000000,IV,14500.000000,290.000000,16820.000000
38650.000000000000000,15436.000000,IV,14500.000000,290.000000,16820.000000
38750.000000000000000,6993.000000,II,25125.000000,1135.000000,34205.000000
38850.000000000000000,7798.000000,V,33800.000000,1860.000000,48680.000000
38950.000000000000000,6949.000000,V,33800.000000,1860.000000,48680.000000
39050.000000000000000,12673.000000,II,33800.000000,1860.000000,48680.000000
39150.000000000000000,11014.500000,V,33800.000000,1860.000000,48680.000000
39250.000000000000000,8106.000000,II,33800.000000,1860.000000,48680.000000
39350.000000000000000,4801.500000,II,33800.000000,1860.000000,48680.000000
39450.000000000000000,8931.000000,II,33800.000000,1860.000000,48680.000000
39550.000000000000000,5738.000000,V,33800.000000,1860.000000,48680.000000
39650.000000000000000,4563.000000,V,,,
